school_id,affiliations
anglo-chinese-junior,"Anglo-Chinese School (Barker Road), Anglo-Chinese School (Independent)"
anglo-chinese-primary,"Anglo-Chinese School (Barker Road), Anglo-Chinese School (Independent)"
canossa-catholic,St. Anthony’s Canossian Secondary School
catholic-high,Catholic High School
chij-katong,CHIJ Katong Convent
chij-kellock,CHIJ St. Theresa’s Convent
chij-our-lady-of-good-counsel,CHIJ St. Joseph’s Convent
chij-our-lady-of-the-nativity,CHIJ St. Joseph’s Convent
chij-our-lady-queen-of-peace,CHIJ St. Theresa’s Convent
chij-st-nicholas-girls,CHIJ St. Nicholas Girls’ School
chij-toa-payoh,CHIJ Secondary (Toa Payoh)
de-la-salle,"St. Joseph’s Institution, St. Patrick’s School"
fairfield-methodist,Fairfield Methodist School (Secondary)
geylang-methodist,Geylang Methodist School (Secondary)
holy-innocents,Holy Innocents’ High School
kuo-chuan-presbyterian,Kuo Chuan Presbyterian Secondary School
maha-bodhi,Manjusri Secondary School
maris-stella-high,Maris Stella High School
mee-toh,Manjusri Secondary School
methodist-girls,Methodist Girls’ School
montfort-junior,Montfort Secondary School
nanyang,Nanyang Girls’ High School
ngee-ann,Ngee Ann Secondary School
paya-lebar-methodist-girls,Paya Lebar Methodist Girls’ School (Secondary)
singapore-chinese-girls,Singapore Chinese Girls’ School
st-andrew-junior,St. Andrew’s Secondary School
st-anthony,"St. Joseph’s Institution, St. Patrick’s School"
st-anthony-canossian,St. Anthony’s Canossian Secondary School
st-gabriel,St. Gabriel’s Secondary School
st-hilda,St. Hilda’s Secondary School
st-joseph-institution-junior,"St. Joseph’s Institution, St. Patrick’s School"
st-margaret,St. Margaret’s Secondary School
st-stephen,"St. Joseph’s Institution, St. Patrick’s School"
