index,school_id,year,category,1,2A(1),2A(2),2B,2C,2C(S),3,Total,sort_id
0,admiralty,2009,applied,0,0,0,51,139,0,0,0,2
1,admiralty,2009,ballot,,,,,,,,,4
2,admiralty,2009,odds,,,,1,0.539568345323741,,,,5
3,admiralty,2009,taken,168,0,7,51,75,0,0,301,3
4,admiralty,2009,vacancy,0,0,0,63,75,0,0,300,1
5,admiralty,2010,applied,0,0,0,40,163,0,0,0,2
6,admiralty,2010,ballot,,,,,,,,,4
7,admiralty,2010,odds,,,,1,0.515337423312883,,,,5
8,admiralty,2010,taken,132,0,14,40,84,0,0,270,3
9,admiralty,2010,vacancy,0,0,0,62,84,0,0,270,1
10,admiralty,2011,applied,0,0,0,31,143,0,0,0,2
11,admiralty,2011,ballot,,,,,,,,,4
12,admiralty,2011,odds,,,,1,0.426573426573427,,,,5
13,admiralty,2011,taken,134,0,16,31,61,0,0,242,3
14,admiralty,2011,vacancy,0,0,0,45,61,0,0,240,1
15,admiralty,2012,applied,0,0,0,48,81,0,0,0,2
16,admiralty,2012,ballot,,,,,,,,,4
17,admiralty,2012,odds,,,,1,0.765432098765432,,,,5
18,admiralty,2012,taken,104,1,25,48,62,0,0,240,3
19,admiralty,2012,vacancy,0,0,0,55,62,0,0,240,1
20,admiralty,2013,applied,0,0,0,40,96,0,0,0,2
21,admiralty,2013,ballot,,,,,,,,,4
22,admiralty,2013,odds,,,,1,0.895833333333333,,,,5
23,admiralty,2013,taken,98,1,15,40,86,0,0,240,3
24,admiralty,2013,vacancy,0,0,0,63,86,0,0,240,1
25,admiralty,2014,applied,0,0,0,41,85,0,0,0,2
26,admiralty,2014,ballot,,,,,,,,,4
27,admiralty,2014,odds,,,,1,0.882352941176471,,,,5
28,admiralty,2014,taken,101,0,23,41,75,0,0,240,3
29,admiralty,2014,vacancy,0,0,0,58,75,0,0,240,1
30,admiralty,2015,applied,0,0,0,22,87,0,0,0,2
31,admiralty,2015,ballot,,,,,,,,,4
32,admiralty,2015,odds,,,,1,0.908045977011494,,,,5
33,admiralty,2015,taken,110,0,33,18,79,0,0,240,3
34,admiralty,2015,vacancy,0,0,0,49,79,0,0,240,1
35,admiralty,2016,applied,0,0,0,30,95,0,0,0,2
36,admiralty,2016,ballot,,,,,,,,,4
37,admiralty,2016,odds,,,,1,0.968421052631579,,,,5
38,admiralty,2016,taken,70,0,21,27,92,0,0,210,3
39,admiralty,2016,vacancy,0,0,0,60,92,0,0,210,1
40,admiralty,2017,applied,0,0,0,35,91,0,0,0,2
41,admiralty,2017,ballot,,,,,,,,,4
42,admiralty,2017,odds,,,,1,0.857142857142857,,,,5
43,admiralty,2017,taken,73,0,24,35,78,0,0,210,3
44,admiralty,2017,vacancy,0,0,0,57,78,0,0,210,1
45,admiralty,2018,applied,0,0,0,35,87,0,0,0,2
46,admiralty,2018,ballot,,,,,,,,,4
47,admiralty,2018,odds,,,,1,0.528735632183908,,,,5
48,admiralty,2018,taken,108,0,21,35,46,0,0,210,3
49,admiralty,2018,vacancy,0,0,0,41,46,0,0,210,1
50,admiralty,2019,applied,83,0,22,44,86,0,0,0,2
51,admiralty,2019,ballot,,,,,SC<1,,,,4
52,admiralty,2019,odds,,,,,0.709302325581395,,,,5
53,admiralty,2019,taken,83,0,22,44,61,0,0,210,3
54,admiralty,2019,vacancy,170,87,87,53,61,0,0,210,1
55,admiralty,2020,applied,89,1,23,48,79,0,0,0,2
56,admiralty,2020,ballot,,,,,SC<1,,,,4
57,admiralty,2020,odds,,,,,0.632911392405063,,,,5
58,admiralty,2020,taken,89,1,23,48,50,0,0,211,3
59,admiralty,2020,vacancy,170,81,80,49,50,0,0,210,1
60,admiralty,2021,applied,83,0,28,60,93,0,0,0,2
61,admiralty,2021,ballot,,,,SC1-2,SC<1,,,,4
62,admiralty,2021,odds,,,,0.833333333333333,0.537634408602151,,,,5
63,admiralty,2021,taken,83,0,28,50,50,0,0,211,3
64,admiralty,2021,vacancy,170,87,87,50,50,0,0,210,1
65,admiralty,2022,applied,107,37,0,49,104,0,0,0,2
66,admiralty,2022,ballot,,,,SC<1,SC<1,,,,4
67,admiralty,2022,odds,,,,0.448979591836735,0.432692307692308,,,,5
68,admiralty,2022,taken,107,37,0,22,45,0,0,211,3
69,admiralty,2022,vacancy,150,44,0,22,45,0,0,210,1
70,admiralty,2023,applied,75,32,0,37,109,0,0,0,2
71,admiralty,2023,ballot,,,,PR<1,SC<1,,,,4
72,admiralty,2023,odds,,,,0.918918918918919,0.642201834862385,,,,5
73,admiralty,2023,taken,75,32,0,34,70,0,0,211,3
74,admiralty,2023,vacancy,150,75,0,34,70,0,0,210,1
75,ahmad-ibrahim,2009,applied,0,0,0,3,71,11,0,0,2
76,ahmad-ibrahim,2009,ballot,,,,,,,,,4
77,ahmad-ibrahim,2009,odds,,,,1,1,1,1,,5
78,ahmad-ibrahim,2009,taken,57,1,4,3,70,11,0,146,3
79,ahmad-ibrahim,2009,vacancy,0,0,0,59,116,46,35,180,1
80,ahmad-ibrahim,2010,applied,0,0,0,0,58,11,0,0,2
81,ahmad-ibrahim,2010,ballot,,,,,,,,,4
82,ahmad-ibrahim,2010,odds,,,,1,1,1,1,,5
83,ahmad-ibrahim,2010,taken,52,0,5,0,58,11,0,126,3
84,ahmad-ibrahim,2010,vacancy,0,0,0,61,123,66,54,180,1
85,ahmad-ibrahim,2011,applied,0,0,0,1,72,32,0,0,2
86,ahmad-ibrahim,2011,ballot,,,,,,,,,4
87,ahmad-ibrahim,2011,odds,,,,1,1,1,1,,5
88,ahmad-ibrahim,2011,taken,54,0,4,1,72,32,0,163,3
89,ahmad-ibrahim,2011,vacancy,0,0,0,61,124,53,21,180,1
90,ahmad-ibrahim,2012,applied,0,0,0,1,90,11,0,0,2
91,ahmad-ibrahim,2012,ballot,,,,,,,,,4
92,ahmad-ibrahim,2012,odds,,,,1,1,1,1,,5
93,ahmad-ibrahim,2012,taken,42,6,7,1,90,11,0,157,3
94,ahmad-ibrahim,2012,vacancy,0,0,0,63,124,34,23,180,1
95,ahmad-ibrahim,2013,applied,0,0,0,2,73,41,0,0,2
96,ahmad-ibrahim,2013,ballot,,,,,,,,,4
97,ahmad-ibrahim,2013,odds,,,,1,1,1,,,5
98,ahmad-ibrahim,2013,taken,54,0,6,2,73,46,0,181,3
99,ahmad-ibrahim,2013,vacancy,0,0,0,60,118,46,0,180,1
100,ahmad-ibrahim,2014,applied,0,0,0,0,53,20,0,0,2
101,ahmad-ibrahim,2014,ballot,,,,,,,,,4
102,ahmad-ibrahim,2014,odds,,,,1,1,1,1,,5
103,ahmad-ibrahim,2014,taken,59,2,7,0,53,20,0,141,3
104,ahmad-ibrahim,2014,vacancy,0,0,0,56,112,59,39,180,1
105,ahmad-ibrahim,2015,applied,0,0,0,0,52,11,0,0,2
106,ahmad-ibrahim,2015,ballot,,,,,,,,,4
107,ahmad-ibrahim,2015,odds,,,,1,1,1,1,,5
108,ahmad-ibrahim,2015,taken,56,0,6,0,52,11,0,125,3
109,ahmad-ibrahim,2015,vacancy,0,0,0,59,119,67,56,180,1
110,ahmad-ibrahim,2016,applied,0,0,0,1,47,12,0,0,2
111,ahmad-ibrahim,2016,ballot,,,,,,,,,4
112,ahmad-ibrahim,2016,odds,,,,1,1,1,1,,5
113,ahmad-ibrahim,2016,taken,46,0,13,0,47,12,0,118,3
114,ahmad-ibrahim,2016,vacancy,0,0,0,61,121,74,62,180,1
115,ahmad-ibrahim,2017,applied,0,0,0,0,49,23,0,0,2
116,ahmad-ibrahim,2017,ballot,,,,,,,,,4
117,ahmad-ibrahim,2017,odds,,,,1,1,1,1,,5
