index,school_id,language,level
0,admiralty,Chinese,Regular
1,admiralty,Chinese,Higher
2,admiralty,Malay,Regular
3,admiralty,Malay,Higher
4,admiralty,Tamil,Regular
5,admiralty,Tamil,Higher
6,ahmad-ibrahim,Chinese,Regular
7,ahmad-ibrahim,Chinese,Higher
8,ahmad-ibrahim,Malay,Regular
9,ahmad-ibrahim,Malay,Higher
10,ahmad-ibrahim,Tamil,Regular
11,ahmad-ibrahim,Tamil,Higher
12,ai-tong,Chinese,Regular
13,ai-tong,Chinese,Higher
14,alexandra,Chinese,Regular
15,alexandra,Chinese,Higher
16,alexandra,Malay,Regular
17,alexandra,Malay,Higher
18,alexandra,Tamil,Regular
19,alexandra,Tamil,Higher
20,anchor-green,Chinese,Regular
21,anchor-green,Chinese,Higher
22,anchor-green,Malay,Regular
23,anchor-green,Malay,Higher
24,anchor-green,Tamil,Regular
25,anchor-green,Tamil,Higher
26,anderson,Chinese,Regular
27,anderson,Chinese,Higher
28,anderson,Malay,Regular
29,anderson,Malay,Higher
30,anderson,Tamil,Regular
31,anderson,Tamil,Higher
32,ang-mo-kio,Chinese,Regular
33,ang-mo-kio,Chinese,Higher
34,ang-mo-kio,Malay,Regular
35,ang-mo-kio,Malay,Higher
36,ang-mo-kio,Tamil,Regular
37,ang-mo-kio,Tamil,Higher
38,anglo-chinese-junior,Chinese,Regular
39,anglo-chinese-junior,Chinese,Higher
40,anglo-chinese-junior,Malay,Regular
41,anglo-chinese-junior,Tamil,Regular
42,anglo-chinese-primary,Chinese,Regular
43,anglo-chinese-primary,Chinese,Higher
44,anglo-chinese-primary,Malay,Regular
45,anglo-chinese-primary,Tamil,Regular
46,anglo-chinese-primary,Tamil,Higher
47,angsana,Chinese,Regular
48,angsana,Chinese,Higher
49,angsana,Malay,Regular
50,angsana,Malay,Higher
51,angsana,Tamil,Regular
52,angsana,Tamil,Higher
53,beacon,Chinese,Regular
54,beacon,Chinese,Higher
55,beacon,Malay,Regular
56,beacon,Malay,Higher
57,beacon,Tamil,Regular
58,beacon,Tamil,Higher
59,bedok-green,Chinese,Regular
60,bedok-green,Chinese,Higher
61,bedok-green,Malay,Regular
62,bedok-green,Malay,Higher
63,bedok-green,Tamil,Regular
64,bedok-green,Tamil,Higher
65,bendemeer,Chinese,Regular
66,bendemeer,Chinese,Higher
67,bendemeer,Malay,Regular
68,bendemeer,Malay,Higher
69,bendemeer,Tamil,Regular
70,bendemeer,Tamil,Higher
71,blangah-rise,Chinese,Regular
72,blangah-rise,Chinese,Higher
73,blangah-rise,Malay,Regular
74,blangah-rise,Malay,Higher
75,blangah-rise,Tamil,Regular
76,blangah-rise,Tamil,Higher
77,boon-lay-garden,Chinese,Regular
78,boon-lay-garden,Chinese,Higher
79,boon-lay-garden,Malay,Regular
80,boon-lay-garden,Malay,Higher
81,boon-lay-garden,Tamil,Regular
82,boon-lay-garden,Tamil,Higher
83,bukit-panjang,Chinese,Regular
84,bukit-panjang,Chinese,Higher
85,bukit-panjang,Malay,Regular
86,bukit-panjang,Malay,Higher
87,bukit-panjang,Tamil,Regular
88,bukit-panjang,Tamil,Higher
89,bukit-timah,Chinese,Regular
90,bukit-timah,Chinese,Higher
91,bukit-timah,Malay,Regular
92,bukit-timah,Malay,Higher
93,bukit-timah,Tamil,Regular
94,bukit-timah,Tamil,Higher
95,bukit-view,Chinese,Regular
96,bukit-view,Chinese,Higher
97,bukit-view,Malay,Regular
98,bukit-view,Malay,Higher
99,bukit-view,Tamil,Regular
100,bukit-view,Tamil,Higher
101,canberra,Chinese,Regular
102,canberra,Chinese,Higher
103,canberra,Malay,Regular
104,canberra,Malay,Higher
105,canberra,Tamil,Regular
106,canberra,Tamil,Higher
107,canossa-catholic,Chinese,Regular
108,canossa-catholic,Chinese,Higher
109,canossa-catholic,Malay,Regular
110,canossa-catholic,Tamil,Regular
111,canossa-catholic,Tamil,Higher
112,cantonment,Chinese,Regular
113,cantonment,Chinese,Higher
114,cantonment,Malay,Regular
115,cantonment,Malay,Higher
116,cantonment,Tamil,Regular
117,cantonment,Tamil,Higher
118,casuarina,Chinese,Regular
119,casuarina,Chinese,Higher
120,casuarina,Malay,Regular
121,casuarina,Tamil,Regular
122,catholic-high,Chinese,Regular
123,catholic-high,Chinese,Higher
124,cedar,Chinese,Regular
125,cedar,Chinese,Higher
126,cedar,Malay,Regular
127,cedar,Malay,Higher
128,cedar,Tamil,Regular
129,cedar,Tamil,Higher
130,changkat,Chinese,Regular
131,changkat,Chinese,Higher
132,changkat,Malay,Regular
133,changkat,Malay,Higher
134,changkat,Tamil,Regular
135,changkat,Tamil,Higher
136,chij-katong,Chinese,Regular
137,chij-katong,Chinese,Higher
138,chij-katong,Malay,Regular
139,chij-katong,Malay,Higher
140,chij-katong,Tamil,Regular
141,chij-katong,Tamil,Higher
142,chij-kellock,Chinese,Regular
143,chij-kellock,Chinese,Higher
144,chij-kellock,Malay,Regular
145,chij-kellock,Malay,Higher
146,chij-kellock,Tamil,Regular
147,chij-kellock,Tamil,Higher
148,chij-our-lady-of-good-counsel,Chinese,Regular
149,chij-our-lady-of-good-counsel,Chinese,Higher
150,chij-our-lady-of-good-counsel,Malay,Regular
151,chij-our-lady-of-good-counsel,Tamil,Regular
152,chij-our-lady-of-good-counsel,Tamil,Higher
153,chij-our-lady-of-the-nativity,Chinese,Regular
154,chij-our-lady-of-the-nativity,Chinese,Higher
155,chij-our-lady-of-the-nativity,Malay,Regular
156,chij-our-lady-of-the-nativity,Tamil,Regular
157,chij-our-lady-of-the-nativity,Tamil,Higher
158,chij-our-lady-queen-of-peace,Chinese,Regular
159,chij-our-lady-queen-of-peace,Chinese,Higher
160,chij-our-lady-queen-of-peace,Malay,Regular
161,chij-our-lady-queen-of-peace,Malay,Higher
162,chij-our-lady-queen-of-peace,Tamil,Regular
163,chij-our-lady-queen-of-peace,Tamil,Higher
164,chij-st-nicholas-girls,Chinese,Regular
165,chij-st-nicholas-girls,Chinese,Higher
166,chij-toa-payoh,Chinese,Regular
167,chij-toa-payoh,Chinese,Higher
168,chij-toa-payoh,Malay,Regular
169,chij-toa-payoh,Malay,Higher
170,chij-toa-payoh,Tamil,Regular
171,chij-toa-payoh,Tamil,Higher
172,chongfu,Chinese,Regular
173,chongfu,Chinese,Higher
174,chongfu,Malay,Regular
175,chongfu,Malay,Higher
176,chongfu,Tamil,Regular
177,chongfu,Tamil,Higher
178,chongzheng,Chinese,Regular
179,chongzheng,Chinese,Higher
180,chongzheng,Malay,Regular
181,chongzheng,Malay,Higher
182,chongzheng,Tamil,Regular
183,chongzheng,Tamil,Higher
184,chua-chu-kang,Chinese,Regular
185,chua-chu-kang,Chinese,Higher
186,chua-chu-kang,Malay,Regular
187,chua-chu-kang,Malay,Higher
188,chua-chu-kang,Tamil,Regular
189,chua-chu-kang,Tamil,Higher
190,clementi,Chinese,Regular
191,clementi,Chinese,Higher
192,clementi,Malay,Regular
193,clementi,Malay,Higher
194,clementi,Tamil,Regular
195,clementi,Tamil,Higher
196,compassvale,Chinese,Regular
197,compassvale,Chinese,Higher
198,compassvale,Malay,Regular
199,compassvale,Malay,Higher
200,compassvale,Tamil,Regular
201,compassvale,Tamil,Higher
202,concord,Chinese,Regular
203,concord,Chinese,Higher
204,concord,Malay,Regular
205,concord,Malay,Higher
206,concord,Tamil,Regular
207,concord,Tamil,Higher
208,corporation,Chinese,Regular
209,corporation,Chinese,Higher
210,corporation,Malay,Regular
211,corporation,Malay,Higher
212,corporation,Tamil,Regular
213,damai,Chinese,Regular
214,damai,Chinese,Higher
215,damai,Malay,Regular
216,damai,Malay,Higher
217,damai,Tamil,Regular
218,damai,Tamil,Higher
219,dazhong,Chinese,Regular
220,dazhong,Chinese,Higher
221,dazhong,Malay,Regular
222,dazhong,Malay,Higher
223,dazhong,Tamil,Regular
224,dazhong,Tamil,Higher
225,de-la-salle,Chinese,Regular
226,de-la-salle,Chinese,Higher
227,de-la-salle,Malay,Regular
228,de-la-salle,Malay,Higher
229,de-la-salle,Tamil,Regular
230,de-la-salle,Tamil,Higher
231,east-spring,Chinese,Regular
232,east-spring,Chinese,Higher
233,east-spring,Malay,Regular
234,east-spring,Malay,Higher
235,east-spring,Tamil,Regular
236,east-spring,Tamil,Higher
237,edgefield,Chinese,Regular
238,edgefield,Chinese,Higher
239,edgefield,Malay,Regular
240,edgefield,Malay,Higher
241,edgefield,Tamil,Regular
242,edgefield,Tamil,Higher
243,elias-park,Chinese,Regular
244,elias-park,Chinese,Higher
245,elias-park,Malay,Regular
246,elias-park,Malay,Higher
247,elias-park,Tamil,Regular
248,endeavour,Chinese,Regular
