index,school_id,year,phase,applied,vacancy,ballot,odds
0,admiralty,2009,1,0,0,,
1,admiralty,2009,2A(1),0,0,,
2,admiralty,2009,2A(2),0,0,,
3,admiralty,2009,2B,51,63,,1
4,admiralty,2009,2C,139,75,,0.539568345323741
5,admiralty,2009,2C(S),0,0,,
6,admiralty,2009,3,0,0,,
7,admiralty,2009,Total,0,300,,1
8,admiralty,2010,1,0,0,,
9,admiralty,2010,2A(1),0,0,,
10,admiralty,2010,2A(2),0,0,,
11,admiralty,2010,2B,40,62,,1
12,admiralty,2010,2C,163,84,,0.515337423312883
13,admiralty,2010,2C(S),0,0,,
14,admiralty,2010,3,0,0,,
15,admiralty,2010,Total,0,270,,1
16,admiralty,2011,1,0,0,,
17,admiralty,2011,2A(1),0,0,,
18,admiralty,2011,2A(2),0,0,,
19,admiralty,2011,2B,31,45,,1
20,admiralty,2011,2C,143,61,,0.426573426573427
21,admiralty,2011,2C(S),0,0,,
22,admiralty,2011,3,0,0,,
23,admiralty,2011,Total,0,240,,1
24,admiralty,2012,1,0,0,,
25,admiralty,2012,2A(1),0,0,,
26,admiralty,2012,2A(2),0,0,,
27,admiralty,2012,2B,48,55,,1
28,admiralty,2012,2C,81,62,,0.765432098765432
29,admiralty,2012,2C(S),0,0,,
30,admiralty,2012,3,0,0,,
31,admiralty,2012,Total,0,240,,1
32,admiralty,2013,1,0,0,,
33,admiralty,2013,2A(1),0,0,,
34,admiralty,2013,2A(2),0,0,,
35,admiralty,2013,2B,40,63,,1
36,admiralty,2013,2C,96,86,,0.895833333333333
37,admiralty,2013,2C(S),0,0,,
38,admiralty,2013,3,0,0,,
39,admiralty,2013,Total,0,240,,1
40,admiralty,2014,1,0,0,,
41,admiralty,2014,2A(1),0,0,,
42,admiralty,2014,2A(2),0,0,,
43,admiralty,2014,2B,41,58,,1
44,admiralty,2014,2C,85,75,,0.882352941176471
45,admiralty,2014,2C(S),0,0,,
46,admiralty,2014,3,0,0,,
47,admiralty,2014,Total,0,240,,1
48,admiralty,2015,1,0,0,,
49,admiralty,2015,2A(1),0,0,,
50,admiralty,2015,2A(2),0,0,,
51,admiralty,2015,2B,22,49,,1
52,admiralty,2015,2C,87,79,,0.908045977011494
53,admiralty,2015,2C(S),0,0,,
54,admiralty,2015,3,0,0,,
55,admiralty,2015,Total,0,240,,1
56,admiralty,2016,1,0,0,,
57,admiralty,2016,2A(1),0,0,,
58,admiralty,2016,2A(2),0,0,,
59,admiralty,2016,2B,30,60,,1
60,admiralty,2016,2C,95,92,,0.968421052631579
61,admiralty,2016,2C(S),0,0,,
62,admiralty,2016,3,0,0,,
63,admiralty,2016,Total,0,210,,1
64,admiralty,2017,1,0,0,,
65,admiralty,2017,2A(1),0,0,,
66,admiralty,2017,2A(2),0,0,,
67,admiralty,2017,2B,35,57,,1
68,admiralty,2017,2C,91,78,,0.857142857142857
69,admiralty,2017,2C(S),0,0,,
70,admiralty,2017,3,0,0,,
71,admiralty,2017,Total,0,210,,1
72,admiralty,2018,1,0,0,,
73,admiralty,2018,2A(1),0,0,,
74,admiralty,2018,2A(2),0,0,,
75,admiralty,2018,2B,35,41,,1
76,admiralty,2018,2C,87,46,,0.528735632183908
77,admiralty,2018,2C(S),0,0,,
78,admiralty,2018,3,0,0,,
79,admiralty,2018,Total,0,210,,1
80,admiralty,2019,1,83,170,,1
81,admiralty,2019,2A(1),0,87,,1
82,admiralty,2019,2A(2),22,87,,1
83,admiralty,2019,2B,44,53,,1
84,admiralty,2019,2C,86,61,SC<1,0.709302325581395
85,admiralty,2019,2C(S),0,0,,
86,admiralty,2019,3,0,0,,
87,admiralty,2019,Total,0,210,,1
88,admiralty,2020,1,89,170,,1
89,admiralty,2020,2A(1),1,81,,1
90,admiralty,2020,2A(2),23,80,,1
91,admiralty,2020,2B,48,49,,1
92,admiralty,2020,2C,79,50,SC<1,0.632911392405063
93,admiralty,2020,2C(S),0,0,,
94,admiralty,2020,3,0,0,,
95,admiralty,2020,Total,0,210,,1
96,admiralty,2021,1,83,170,,1
97,admiralty,2021,2A(1),0,87,,1
98,admiralty,2021,2A(2),28,87,,1
99,admiralty,2021,2B,60,50,SC1-2,0.833333333333333
100,admiralty,2021,2C,93,50,SC<1,0.537634408602151
101,admiralty,2021,2C(S),0,0,,
102,admiralty,2021,3,0,0,,
103,admiralty,2021,Total,0,210,,1
104,admiralty,2022,1,107,150,,1
105,admiralty,2022,2A(1),37,44,,1
106,admiralty,2022,2A(2),0,0,,
107,admiralty,2022,2B,49,22,SC<1,0.448979591836735
