level_0,index,school_id,name,logo_url,area,address,postal_code,website,parent_volunteer,type_sap,type_boys-only,type_girls-only,type_gep,affiliations,logo_url2,moe_url,googlemap_url,review_num,review_rating_avg
0,0,admiralty,Admiralty Primary School,https://sgschooling.com/img/logo/admiralty.jpg,Woodlands,11 Woodlands Circle S738907,738907,https://admiraltypri.moe.edu.sg/,,false,false,false,false,,Admiralty Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=admiralty-primary-school,"https://www.google.com/maps/place/Admiralty+Primary+School/@1.4430452,103.7977338,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1374941768d5:0x2622662f8a627a98!8m2!3d1.4430452!4d103.8003087!16s%2Fg%2F1tpn01_4?entry=ttu",30,4.46666666666667
1,1,ahmad-ibrahim,Ahmad Ibrahim Primary School,https://sgschooling.com/img/logo/ahmad-ibrahim.jpg,Yishun,10 Yishun Street 11 S768643,768643,http://www.ahmadibrahimpri.moe.edu.sg,,false,false,false,false,,Ahmad Ibrahim Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=ahmad-ibrahim-primary-school,"https://www.google.com/maps/place/Ahmad+Ibrahim+Primary+School/@1.4337349,103.8302076,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1464b2aaaaab:0x19ab5207d64a2abc!8m2!3d1.4337349!4d103.8327825!16s%2Fg%2F1td07frd?entry=ttu",,
2,2,ai-tong,Ai Tong School,https://sgschooling.com/img/logo/ai-tong.jpg,Bishan,100 Bright Hill Drive S579646,579646,http://www.aitong.moe.edu.sg,"Singapore Hokkein Huay Kuan, 2y membership, 80h ",true,false,false,false,,Ai Tong School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=ai-tong-school,"https://www.google.com/maps/place/Ai+Tong+School/@1.3603066,103.8301315,17z/data=!3m1!4b1!4m6!3m5!1s0x31da172898d4377d:0x76996bce7e40ba90!8m2!3d1.3603066!4d103.8327064!16zL20vMDhiZnh6?entry=ttu",31,4.51612903225806
3,3,alexandra,Alexandra Primary School,https://sgschooling.com/img/logo/alexandra.jpg,Bukit Merah,2A Prince Charles Crescent S159016,159016,http://alexandrapri.moe.edu.sg,,false,false,false,false,,Alexandra Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=alexandra-primary-school,"https://www.google.com/maps/place/Alexandra+Primary+School/@1.2912575,103.821187,17z/data=!3m1!4b1!4m6!3m5!1s0x31da19805977d68f:0xe642bc66c3760728!8m2!3d1.2912575!4d103.8237619!16s%2Fg%2F1q5gkrl6b?entry=ttu",23,4.52173913043478
4,4,anchor-green,Anchor Green Primary School,https://sgschooling.com/img/logo/anchor-green.jpg,Sengkang,31 Anchorvale Drive S544969,544969,http://www.anchorgreenpri.moe.edu.sg,,false,false,false,false,,Anchor Green Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=anchor-green-primary-school,"https://www.google.com/maps/place/Anchor+Green+Primary+School/@1.3908643,103.8845426,17z/data=!3m1!4b1!4m6!3m5!1s0x31da166d961b3d37:0xbcf84b8ae3ac3dd6!8m2!3d1.3908643!4d103.8871175!16s%2Fg%2F1tj1k01v?entry=ttu",31,4
5,5,anderson,Anderson Primary School,https://sgschooling.com/img/logo/anderson.jpg,Ang Mo Kio,19 Ang Mo Kio Ave 9 S569785,569785,http://www.andersonpri.moe.edu.sg,"40h, apply in Feb-May",false,false,false,false,,Anderson Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=anderson-primary-school,"https://www.google.com/maps/place/Anderson+Primary+School/@1.3840294,103.8387931,17z/data=!3m2!4b1!5s0x31da16bf0560563d:0xb472f3382156b8fd!4m6!3m5!1s0x31da16bf052f2b11:0xf728a00bce323731!8m2!3d1.3840294!4d103.841368!16s%2Fg%2F1q6n2w2bt?entry=ttu",23,4.17391304347826
6,6,ang-mo-kio,Ang Mo Kio Primary School,https://sgschooling.com/img/logo/ang-mo-kio.jpg,Ang Mo Kio,20 Ang Mo Kio Avenue 3 S569920,569920,http://www.angmokiopri.moe.edu.sg,,false,false,false,false,,Ang Mo Kio Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=ang-mo-kio-primary-school,"https://www.google.com/maps/place/Ang+Mo+Kio+Primary+School/@1.3693482,103.8372377,17z/data=!3m2!4b1!5s0x31da16dc102f3f21:0xe8497af3265d538b!4m6!3m5!1s0x31da16dc08727bb9:0x5dd3dcaf9e413dfb!8m2!3d1.3693482!4d103.8398126!16s%2Fg%2F1w96d874?entry=ttu",24,3.75
7,7,anglo-chinese-junior,Anglo-Chinese School (Junior),https://sgschooling.com/img/logo/anglo-chinese-junior.jpg,Central,16 Winstedt Road S227988,227988,http://www.acsj.moe.edu.sg,,false,true,false,false,"Anglo-Chinese School (Barker Road), Anglo-Chinese School (Independent)",Anglo-Chinese School (Junior).jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=anglochinese-school-junior,"https://www.google.com/maps/place/Anglo-Chinese+School+(Junior)/@1.3090345,103.8390636,17z/data=!3m2!4b1!5s0x31da19eb18e4fd41:0xc0f6c098f692662f!4m6!3m5!1s0x31da19eb22ea220b:0xbf53ae2f0b5dbc28!8m2!3d1.3090345!4d103.8416385!16s%2Fg%2F1hdzn_3vk?entry=ttu",,
8,8,angsana,Angsana Primary School,https://sgschooling.com/img/logo/angsana.jpg,Tampines,51 Tampines Street 61 S528565,528565,https://angsanapri.moe.edu.sg/,,false,false,false,false,,Angsana Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=angsana-primary-school,"https://www.google.com/maps/place/Angsana+Primary+School/@1.3629146,103.9364185,17z/data=!3m1!4b1!4m6!3m5!1s0x31da3dfc05af1c65:0xb36409827cd45acb!8m2!3d1.3629146!4d103.9389934!16s%2Fg%2F11rmzzz8p6?entry=ttu",13,4.76923076923077
9,9,beacon,Beacon Primary School,https://sgschooling.com/img/logo/beacon.jpg,Bukit Panjang,36 Bukit Panjang Ring Road S679944,679944,https://beaconpri.moe.edu.sg/,,false,false,false,false,,Beacon Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=beacon-primary-school,"https://www.google.com/maps/place/Beacon+Primary+School/@1.3839141,103.7711167,17z/data=!3m1!4b1!4m6!3m5!1s0x31da119f95353b3f:0x2ace29e4a4ecb8f6!8m2!3d1.3839141!4d103.7736916!16s%2Fg%2F1vyst17j?entry=ttu",17,4.17647058823529
10,10,bedok-green,Bedok Green Primary School,https://sgschooling.com/img/logo/bedok-green.jpg,Bedok,1 Bedok South Ave 2 S469317,469317,http://www.bedokgreenpri.moe.edu.sg,,false,false,false,false,,Bedok Green Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=bedok-green-primary-school,"https://www.google.com/maps/place/Bedok+Green+Primary+School/@1.3242773,103.9349436,17z/data=!3m2!4b1!5s0x31da22ca82483c35:0x2b894f7a7525bb51!4m6!3m5!1s0x31da22ca80c23e39:0x362047e31d59970a!8m2!3d1.3242773!4d103.9375185!16s%2Fg%2F1tdf8mq9?entry=ttu",34,4.29411764705882
11,11,bendemeer,Bendemeer Primary School,https://sgschooling.com/img/logo/bendemeer.jpg,Kallang,91 Bendemeer Road S339948,339948,http://www.bendemeerpri.moe.edu.sg/,,false,false,false,false,,Bendemeer Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=bendemeer-primary-school,"https://www.google.com/maps/place/Bendemeer+Primary+School/@1.322193,103.8625076,17z/data=!3m1!4b1!4m6!3m5!1s0x31da19d381f10b4f:0x8fb804cc96a84916!8m2!3d1.322193!4d103.8650825!16s%2Fg%2F1tfzv00t?entry=ttu",38,3.34210526315789
