index,school_id,name,logo_url,area,address,postal_code,website,parent_volunteer,type_sap,type_boys-only,type_girls-only,type_gep,affiliations,logo_url2,moe_url
0,admiralty,Admiralty Primary School,https://sgschooling.com/img/logo/admiralty.jpg,Woodlands,11 Woodlands Circle S738907,738907,https://admiraltypri.moe.edu.sg/,,false,false,false,false,,Admiralty Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=admiralty-primary-school
1,ahmad-ibrahim,Ahmad Ibrahim Primary School,https://sgschooling.com/img/logo/ahmad-ibrahim.jpg,Yishun,10 Yishun Street 11 S768643,768643,http://www.ahmadibrahimpri.moe.edu.sg,,false,false,false,false,,Ahmad Ibrahim Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=ahmad-ibrahim-primary-school
2,ai-tong,Ai Tong School,https://sgschooling.com/img/logo/ai-tong.jpg,Bishan,100 Bright Hill Drive S579646,579646,http://www.aitong.moe.edu.sg,"Singapore Hokkein Huay Kuan, 2y membership, 80h ",true,false,false,false,,Ai Tong School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=ai-tong-school
3,alexandra,Alexandra Primary School,https://sgschooling.com/img/logo/alexandra.jpg,Bukit Merah,2A Prince Charles Crescent S159016,159016,http://alexandrapri.moe.edu.sg,,false,false,false,false,,Alexandra Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=alexandra-primary-school
4,anchor-green,Anchor Green Primary School,https://sgschooling.com/img/logo/anchor-green.jpg,Sengkang,31 Anchorvale Drive S544969,544969,http://www.anchorgreenpri.moe.edu.sg,,false,false,false,false,,Anchor Green Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=anchor-green-primary-school
5,anderson,Anderson Primary School,https://sgschooling.com/img/logo/anderson.jpg,Ang Mo Kio,19 Ang Mo Kio Ave 9 S569785,569785,http://www.andersonpri.moe.edu.sg,"40h, apply in Feb-May",false,false,false,false,,Anderson Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=anderson-primary-school
6,ang-mo-kio,Ang Mo Kio Primary School,https://sgschooling.com/img/logo/ang-mo-kio.jpg,Ang Mo Kio,20 Ang Mo Kio Avenue 3 S569920,569920,http://www.angmokiopri.moe.edu.sg,,false,false,false,false,,Ang Mo Kio Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=ang-mo-kio-primary-school
7,anglo-chinese-junior,Anglo-Chinese School (Junior),https://sgschooling.com/img/logo/anglo-chinese-junior.jpg,Central,16 Winstedt Road S227988,227988,http://www.acsj.moe.edu.sg,,false,true,false,false,"Anglo-Chinese School (Barker Road), Anglo-Chinese School (Independent)",Anglo-Chinese School (Junior).jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=anglochinese-school-junior
180,anglo-chinese-primary,Anglo-Chinese School (Primary),https://sgschooling.com/img/logo/anglo-chinese-primary.jpg,Novena,50 Barker Road S309918,309918,http://www.acspri.moe.edu.sg/,,false,true,false,true,"Anglo-Chinese School (Barker Road), Anglo-Chinese School (Independent)",Anglo-Chinese School (Primary).jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=anglochinese-school-primary
8,angsana,Angsana Primary School,https://sgschooling.com/img/logo/angsana.jpg,Tampines,51 Tampines Street 61 S528565,528565,https://angsanapri.moe.edu.sg/,,false,false,false,false,,Angsana Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=angsana-primary-school
9,beacon,Beacon Primary School,https://sgschooling.com/img/logo/beacon.jpg,Bukit Panjang,36 Bukit Panjang Ring Road S679944,679944,https://beaconpri.moe.edu.sg/,,false,false,false,false,,Beacon Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=beacon-primary-school
10,bedok-green,Bedok Green Primary School,https://sgschooling.com/img/logo/bedok-green.jpg,Bedok,1 Bedok South Ave 2 S469317,469317,http://www.bedokgreenpri.moe.edu.sg,,false,false,false,false,,Bedok Green Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=bedok-green-primary-school
11,bendemeer,Bendemeer Primary School,https://sgschooling.com/img/logo/bendemeer.jpg,Kallang,91 Bendemeer Road S339948,339948,http://www.bendemeerpri.moe.edu.sg/,,false,false,false,false,,Bendemeer Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=bendemeer-primary-school
12,blangah-rise,Blangah Rise Primary School,https://sgschooling.com/img/logo/blangah-rise.jpg,Bukit Merah,91 Telok Blangah Heights S109100,109100,http://www.blangahrisepri.moe.edu.sg/,,false,false,false,false,,Blangah Rise Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=blangah-rise-primary-school
13,boon-lay-garden,Boon Lay Garden Primary School,https://sgschooling.com/img/logo/boon-lay-garden.jpg,Jurong West,20 Boon Lay Drive S649930,649930,http://www.boonlaygardenpri.moe.edu.sg,,false,false,false,false,,Boon Lay Garden Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=boon-lay-garden-primary-school
14,bukit-panjang,Bukit Panjang Primary School,https://sgschooling.com/img/logo/bukit-panjang.jpg,Bukit Panjang,109 Cashew Road S679676,679676,http://www.bukitpanjangpri.moe.edu.sg,,false,false,false,false,,Bukit Panjang Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=bukit-panjang-primary-school
15,bukit-timah,Bukit Timah Primary School,https://sgschooling.com/img/logo/bukit-timah.jpg,Bukit Timah,111 Lorong Kismis S598112,598112,http://www.bukittimahpri.moe.edu.sg,,false,false,false,false,,Bukit Timah Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=bukit-timah-primary-school
16,bukit-view,Bukit View Primary School,https://sgschooling.com/img/logo/bukit-view.jpg,Bukit Batok,18 Bukit Batok Street 21 S659634,659634,http://www.bukitviewpri.moe.edu.sg,,false,false,false,false,,Bukit View Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=bukit-view-primary-school
17,canberra,Canberra Primary School,https://sgschooling.com/img/logo/canberra.jpg,Sembawang,21 Admiralty Drive S757714,757714,http://www.canberrapri.moe.edu.sg,,false,false,false,false,,Canberra Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=canberra-primary-school
18,canossa-catholic,Canossa Catholic Primary School,https://sgschooling.com/img/logo/canossa-catholic.jpg,Geylang,1 Sallim Road S387621,387621,https://canossacatholicpri.moe.edu.sg/,,false,false,false,false,St. Anthony’s Canossian Secondary School,Canossa Catholic Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=canossa-catholic-primary-school
19,cantonment,Cantonment Primary School,https://sgschooling.com/img/logo/cantonment.jpg,Bukit Merah,1 Cantonment Close S088256,88256,http://www.cantonmentpri.moe.edu.sg,,false,false,false,false,,Cantonment Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=cantonment-primary-school
20,casuarina,Casuarina Primary School,https://sgschooling.com/img/logo/casuarina.jpg,Pasir Ris,30 Pasir Ris St 41 S518935,518935,http://www.casuarinapri.moe.edu.sg/,,false,false,false,false,,Casuarina Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=casuarina-primary-school
33,catholic-high,Catholic High School (Primary Section),https://sgschooling.com/img/logo/catholic-high.jpg,Bishan,9 Bishan Street 22 S579767,579767,http://www.catholichigh.moe.edu.sg,,true,true,false,true,Catholic High School,Catholic High School (Primary Section).jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=catholic-high-school-primary-section
21,cedar,Cedar Primary School,https://sgschooling.com/img/logo/cedar.jpg,Toa Payoh,15 Cedar Avenue S349700,349700,http://www.cedarpri.moe.edu.sg,,false,false,false,false,,Cedar Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=cedar-primary-school
22,changkat,Changkat Primary School,https://sgschooling.com/img/logo/changkat.jpg,Tampines,11 Simei St 3 S529896,529896,http://www.changkatpri.moe.edu.sg/,,false,false,false,false,,Changkat Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=changkat-primary-school
23,chij-katong,CHIJ (Katong) Primary,https://sgschooling.com/img/logo/chij-katong.jpg,Bedok,17 Martia Road S424821,424821,http://chijkcp.moe.edu.sg/,,false,false,true,false,CHIJ Katong Convent,CHIJ (Katong) Primary.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=chij-katong-primary
24,chij-kellock,CHIJ (Kellock),https://sgschooling.com/img/logo/chij-kellock.jpg,Bukit Merah,1 Bukit Teresa Road S099757,99757,http://www.chijkellock.moe.edu.sg/,,false,false,true,false,CHIJ St. Theresa’s Convent,CHIJ (Kellock).jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=chij-kellock
25,chij-our-lady-of-good-counsel,CHIJ Our Lady of Good Counsel,https://sgschooling.com/img/logo/chij-our-lady-of-good-counsel.jpg,Serangoon,2C Burghley Drive S558979,558979,http://www.chijourladyofgoodcounsel.moe.edu.sg,40h,false,false,true,false,CHIJ St. Joseph’s Convent,CHIJ Our Lady of Good Counsel.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=chij-our-lady-of-good-counsel
26,chij-our-lady-of-the-nativity,CHIJ Our Lady of the Nativity,https://sgschooling.com/img/logo/chij-our-lady-of-the-nativity.jpg,Hougang,1257 Upper Serangoon Road S534793,534793,http://www.chijourladyofthenativity.moe.edu.sg/,,false,false,true,false,CHIJ St. Joseph’s Convent,CHIJ Our Lady of the Nativity.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=chij-our-lady-of-the-nativity
27,chij-our-lady-queen-of-peace,CHIJ Our Lady Queen of Peace,https://sgschooling.com/img/logo/chij-our-lady-queen-of-peace.jpg,Bukit Panjang,4 Chestnut Drive S679287,679287,http://www.chijourladyqueenofpeace.moe.edu.sg/,,false,false,true,false,CHIJ St. Theresa’s Convent,CHIJ Our Lady Queen of Peace.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=chij-our-lady-queen-of-peace
32,chij-st-nicholas-girls,CHIJ St. Nicholas Girls' School (Primary Section),https://sgschooling.com/img/logo/chij-st-nicholas-girls.jpg,Ang Mo Kio,501 Ang Mo Kio Street 13 S569405,569405,http://www.chijstnicholasgirls.moe.edu.sg,"40h + 20h after getting a place, apply by Dec",true,false,true,false,CHIJ St. Nicholas Girls’ School,CHIJ St. Nicholas Girls' School (Primary Section).jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=chij-st-nicholas-girls-school-primary-section
28,chij-toa-payoh,CHIJ Primary (Toa Payoh),https://sgschooling.com/img/logo/chij-toa-payoh.jpg,Toa Payoh,628 Lorong 1 Toa Payoh S319765,319765,http://www.chijpritoapayoh.moe.edu.sg,"Central Parents Council ",false,false,true,false,CHIJ Secondary (Toa Payoh),CHIJ Primary (Toa Payoh).jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=chij-primary-toa-payoh
29,chongfu,Chongfu School,https://sgschooling.com/img/logo/chongfu.jpg,Yishun,170 Yishun Avenue 6 S768959,768959,http://www.chongfu.moe.edu.sg/,🔗,false,false,false,false,,Chongfu School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=chongfu-school
30,chongzheng,Chongzheng Primary School,https://sgschooling.com/img/logo/chongzheng.jpg,Tampines,1 Tampines Street 21 S529392,529392,http://www.chongzhengpri.moe.edu.sg,,false,false,false,false,,Chongzheng Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=chongzheng-primary-school
31,chua-chu-kang,Chua Chu Kang Primary School,https://sgschooling.com/img/logo/chua-chu-kang.jpg,Choa Chu Kang,20 Choa Chu Kang Avenue 2 S689905,689905,http://www.chuachukangpri.moe.edu.sg,,false,false,false,false,,Chua Chu Kang Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=chua-chu-kang-primary-school
34,clementi,Clementi Primary School,https://sgschooling.com/img/logo/clementi.jpg,Clementi,8 Clementi Ave 3 S129903,129903,http://www.clementipri.moe.edu.sg,,false,false,false,false,,Clementi Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=clementi-primary-school
35,compassvale,Compassvale Primary School,https://sgschooling.com/img/logo/compassvale.jpg,Sengkang,21 Compassvale St S545091,545091,http://www.compassvalepri.moe.edu.sg/,,false,false,false,false,,Compassvale Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=compassvale-primary-school
36,concord,Concord Primary School,https://sgschooling.com/img/logo/concord.jpg,Choa Chu Kang,3 Choa Chu Kang Ave 4 S689814,689814,http://www.concordpri.moe.edu.sg/,,false,false,false,false,,Concord Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=concord-primary-school
37,corporation,Corporation Primary School,https://sgschooling.com/img/logo/corporation.jpg,Jurong West,31 Jurong West Street 24 S648347,648347,http://www.corporationpri.moe.edu.sg,,false,false,false,false,,Corporation Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=corporation-primary-school
38,damai,Damai Primary School,https://sgschooling.com/img/logo/damai.jpg,Bedok,52 Bedok Reservoir Crescent S479226,479226,http://www.damaipri.moe.edu.sg,,false,false,false,false,,Damai Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=damai-primary-school
39,dazhong,Dazhong Primary School,https://sgschooling.com/img/logo/dazhong.jpg,Bukit Batok,35 Bukit Batok Street 31 S659441,659441,http://www.dazhongpri.moe.edu.sg,,false,false,false,false,,Dazhong Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=dazhong-primary-school
40,de-la-salle,De La Salle School,https://sgschooling.com/img/logo/de-la-salle.jpg,Choa Chu Kang,11 Choa Chu Kang St 52 S689285,689285,http://www.delasalle.moe.edu.sg,,false,false,false,false,"St. Joseph’s Institution, St. Patrick’s School",De La Salle School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=de-la-salle-school
41,east-spring,East Spring Primary School,https://sgschooling.com/img/logo/east-spring.jpg,Tampines,31 Tampines St 33 S529258,529258,http://www.eastspringpri.moe.edu.sg,,false,false,false,false,,East Spring Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=east-spring-primary-school
42,edgefield,Edgefield Primary School,https://sgschooling.com/img/logo/edgefield.jpg,Punggol,41 Edgefield Plains S828869,828869,http://www.edgefieldpri.moe.edu.sg,,false,false,false,false,,Edgefield Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=edgefield-primary-school
43,elias-park,Elias Park Primary School,https://sgschooling.com/img/logo/elias-park.jpg,Pasir Ris,11 Pasir Ris Street 52 S518866,518866,http://www.eliasparkpri.moe.edu.sg,,false,false,false,false,,Elias Park Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=elias-park-primary-school
44,endeavour,Endeavour Primary School,https://sgschooling.com/img/logo/endeavour.jpg,Sembawang,10 Admiralty Link S757521,757521,https://endeavourpri.moe.edu.sg/,,false,false,false,false,,Endeavour Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=endeavour-primary-school
45,eunos,Eunos Primary School,https://sgschooling.com/img/logo/eunos.jpg,Geylang,95 Jalan Eunos S419529,419529,,,false,false,false,false,,,
46,evergreen,Evergreen Primary School,https://sgschooling.com/img/logo/evergreen.jpg,Woodlands,31 Woodlands Circle S738908,738908,http://www.evergreenpri.moe.edu.sg/,,false,false,false,false,,Evergreen Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=evergreen-primary-school
47,fairfield-methodist,Fairfield Methodist School (Primary),https://sgschooling.com/img/logo/fairfield-methodist.jpg,Queenstown,100 Dover Road S139648,139648,http://www.fmsp.moe.edu.sg/,40h,false,false,false,false,Fairfield Methodist School (Secondary),Fairfield Methodist School (Primary).jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=fairfield-methodist-school-primary
48,farrer-park,Farrer Park Primary School,https://sgschooling.com/img/logo/farrer-park.jpg,Kallang,2 Farrer Park Road S217567,217567,http://www.farrerparkpri.moe.edu.sg,,false,false,false,false,,Farrer Park Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=farrer-park-primary-school
