level_0,index,school_id,username,caption,rating,retrieval_date,relative_date,timestamp,id_review,url_user,n_review_user
0,0,admiralty,Jav,good school,5,2023-12-24 21:26:30.562396,4 weeks ago,2023-11-26 21:26:30,NA,NA,NA
1,1,admiralty,Isya,Live laugh love Admiralty Primary💋 …,5,2023-12-24 21:26:30.565396,5 months ago,2023-07-27 21:26:30,NA,NA,NA
2,2,admiralty,Vyden Wang Jiawen (Cchms),excellent school where students learn how to persevere and upgrade their skills to a whole new level. Many kind and caring teachers and it is a place where you will make lots of friends. I know all these because i graduated from that school myself.,5,2023-12-24 21:26:30.577771,8 months ago,2023-04-28 21:26:30,NA,NA,NA
3,3,admiralty,zel,Very nice,1,2023-12-24 21:26:30.578771,9 months ago,2023-03-29 21:26:30,NA,NA,NA
4,4,admiralty,Thejanvith Deependra,"The school teachers Nice but when one of my enemy called me black bit, they did not even do anything about it but when I sprayed water at him, the teacher took action and scolded me badly. Take this as a warning from your senior.",1,2023-12-24 21:26:30.581770,11 months ago,2023-01-28 21:26:30,NA,NA,NA
5,5,admiralty,XiaoCheng yu,Nothing,4,2023-12-24 21:26:30.582769,a year ago,2022-12-24 21:26:30,NA,NA,NA
6,6,admiralty,Vincent Lee,Food there was expensive but the school is overall good,4,2023-12-24 21:26:30.583768,a year ago,2022-12-24 21:26:30,NA,NA,NA
7,7,admiralty,Soh Xuan Yi,So much have changed in the school. Was a ex student 16 years ago， I love how much have it changed.,5,2023-12-24 21:26:30.583768,a year ago,2022-12-24 21:26:30,NA,NA,NA
8,8,admiralty,Alvin Lim,Most popular school in Woodlands,5,2023-12-24 21:26:30.584769,a year ago,2022-12-24 21:26:30,NA,NA,NA
9,9,admiralty,Mambo Stevie,Clean and nice environment,5,2023-12-24 21:26:36.907390,3 years ago,2020-12-24 21:26:36,NA,NA,NA
10,10,admiralty,H 2,Excellent primary school focus on nurturing confidence responsibility and skill rather than grades. Professional yet approachable staffs and teaching in homely atmosphere. Come with varieties of fasciitis. Plenty of greenery in and around the school with fresh air away from the busy cityscapes. Within walking distances from Circle Green and N'hood park of Woodlands Crescent Woodlands Admirlty Garden and the Playground at drive 73. Conveniently located in the neighbourhood heartland next to Admirlty MRT station connecting to Woodlands MRT and bus interchange Causeway Point and Civic centre with plenty of dinning shopping banking library postage community centre cinemas entertainment and amenities nearby. Within walking distances from Woodlands Mart Green Natural Distributor Fortune Supermarket Riverside Primary School Admirlty Secondary School Care Corner Family Service Centre Kampung Admirlty Admirlty Place with wet market and Woodlands Galaxy Community Club. Friendly cosy comfy welcoming ambience for students tourists expats locals visitors and families..,5,2023-12-24 21:26:36.908390,3 years ago,2020-12-24 21:26:36,NA,NA,NA
11,11,admiralty,H2 O,Excellent primary school focus on nurturing confidence responsibility and skill rather than grades. Professional yet approachable staffs and teaching in homely atmosphere. Come with varieties of fasciitis including mini indoor sports hall and a green house at a top floor. Plenty of greenery in and around the school with fresh air away from the busy cityscapes. Within walking distances from Circle Green and N'hood park of Woodlands Crescent Woodlands Admirlty Garden and the Playground at drive 73. Conveniently located in the neighbourhood heartland next to Admirlty MRT station connecting to Woodlands MRT and bus interchange Causeway Point and Civic centre with plenty of dinning shopping banking library postage community centre cinemas entertainment and amenities nearby. Within walking distances from Woodlands Mart Green Natural Distributor Fortune Supermarket Riverside Primary School Admirlty Secondary School Care Corner Family Service Centre Kampung Admirlty Admirlty Place with wet market and Woodlands Galaxy Community Club. Friendly cosy comfy welcoming ambience for students tourists expats locals visitors and families..,5,2023-12-24 21:26:36.909392,3 years ago,2020-12-24 21:26:36,NA,NA,NA
12,12,admiralty,super Shaun and Duangjai,"I'm a student here, I-",5,2023-12-24 21:26:36.910391,3 years ago,2020-12-24 21:26:36,NA,NA,NA
13,13,admiralty,Yeo Tun Seng,Nice school,5,2023-12-24 21:26:43.151691,4 years ago,2019-12-25 21:26:43,NA,NA,NA
14,14,admiralty,Mohd Aniq Raiyan,"I am still a student, last year here because i am p6 and hope to make memories here",5,2023-12-24 21:26:43.153692,4 years ago,2019-12-25 21:26:43,NA,NA,NA
15,15,admiralty,Sasson Gideon,This is the school,5,2023-12-24 21:26:43.154691,5 years ago,2018-12-25 21:26:43,NA,NA,NA
16,16,admiralty,Daeng MN Ilham,School has been renovated. No more access from.Woodlands Ave 6. There are 2 newly value-added buildings within the school compound. The green field is smaller but its new surrounding makes a remarkable fresh atmosphere. One new building looks like a mini indoor sports hall. Whereas the other building holds a green house at the top floor.,3,2023-12-24 21:26:43.156119,5 years ago,2018-12-25 21:26:43,NA,NA,NA
17,17,admiralty,Noomery,Good school!!,4,2023-12-24 21:26:49.397031,6 years ago,2017-12-25 21:26:49,NA,NA,NA
18,18,admiralty,Jenny Ng,"Easy access by bus 913, has a safety overhead bridge for the students at the back gate.",3,2023-12-24 21:26:49.398031,6 years ago,2017-12-25 21:26:49,NA,NA,NA
19,19,admiralty,豪,once i have come here . the view is nice and the people were very friendly it makes me love singapore,5,2023-12-24 21:26:49.398031,6 years ago,2017-12-25 21:26:49,NA,NA,NA
20,20,admiralty,Dorothy Lye,Love this school❤️💯 …,5,2023-12-24 21:26:49.400432,6 years ago,2017-12-25 21:26:49,NA,NA,NA
21,21,admiralty,Reynold Simonn,My school,5,2023-12-24 21:26:49.401432,6 years ago,2017-12-25 21:26:49,NA,NA,NA
22,22,admiralty,Tian Yu,I  am still still studying in the school and I love my school,5,2023-12-24 21:26:49.401432,6 years ago,2017-12-25 21:26:49,NA,NA,NA
23,23,admiralty,kewei xie,Good!,5,2023-12-24 21:26:55.681775,8 years ago,2015-12-26 21:26:55,NA,NA,NA
24,24,admiralty,nyi nyi lwin,Very good school,5,2023-12-24 21:26:55.681775,8 years ago,2015-12-26 21:26:55,NA,NA,NA
25,25,admiralty,Goh Esther,It let my son improve on his work,5,2023-12-24 21:26:55.682777,8 years ago,2015-12-26 21:26:55,NA,NA,NA
26,26,admiralty,Suresh Rao,best school ever! !!!!!!!!!!!!!!!!!!!!!!!,5,2023-12-24 21:26:55.682777,9 years ago,2014-12-26 21:26:55,NA,NA,NA
27,27,admiralty,Zufiqah Zulkifli,The best school ever !!! The school was so nice .... Choose this school i swear you won't regret it !! :),5,2023-12-24 21:26:55.683775,9 years ago,2014-12-26 21:26:55,NA,NA,NA
28,28,admiralty,Shen Liang,Woodlands Best Primary School in Singapore!!!,5,2023-12-24 21:26:55.684777,9 years ago,2014-12-26 21:26:55,NA,NA,NA
29,29,admiralty,Richard Jang,One of the best primary school in Woodlands. Making use of technology to allow parents and teachers to track the progress of their students. You can track your child homework by logging on the website.,4,2023-12-24 21:27:01.941558,10 years ago,2013-12-26 21:27:01,NA,NA,NA
30,30,ai-tong,Lucas Yeo,It is a nice place to be in,4,2023-12-24 21:28:36.326052,a month ago,2023-11-24 21:28:36,NA,NA,NA
31,31,ai-tong,Joelle,"Don't take ats for granted, is the best",5,2023-12-24 21:28:36.327051,a month ago,2023-11-24 21:28:36,NA,NA,NA
32,32,ai-tong,Ethan Chew,"i’m from this school and it’s good. people there are cool and ai tong wins competitions a lot. good facilities too and while i can’t say the teachers there are all good, i can say that most are",5,2023-12-24 21:28:36.327051,a month ago,2023-11-24 21:28:36,NA,NA,NA
33,33,ai-tong,Lee Ensheng,OMG,5,2023-12-24 21:28:36.328050,2 months ago,2023-10-25 21:28:36,NA,NA,NA
34,34,ai-tong,ovori,"school of rich heritage, and well maintained facilities",5,2023-12-24 21:28:36.328050,3 months ago,2023-09-25 21:28:36,NA,NA,NA
35,35,ai-tong,Jade Ng Gek Choo,it is a school with very rich history and the kids in that school are very polite. their grades are also very good. 5 stars!,5,2023-12-24 21:28:36.329050,4 months ago,2023-08-26 21:28:36,NA,NA,NA
36,36,ai-tong,Mai Thi Muon,Very nice school,5,2023-12-24 21:28:36.331053,5 months ago,2023-07-27 21:28:36,NA,NA,NA
37,37,ai-tong,Xu Mingjie (Bsss),Great school!,4,2023-12-24 21:28:36.331053,7 months ago,2023-05-28 21:28:36,NA,NA,NA
38,38,ai-tong,Chong Yu Qi (Peircess),"I was a student in that school last year but now I have graduated and went into a secondary school nearby which is called peirce secondary, I chose that school cause is convenient to came back to Ai Tong",5,2023-12-24 21:28:36.332054,8 months ago,2023-04-28 21:28:36,NA,NA,NA
39,39,ai-tong,Yuanjing Li,School with old tradition and good values,5,2023-12-24 21:28:36.333054,9 months ago,2023-03-29 21:28:36,NA,NA,NA
40,40,ai-tong,Shawn Siah,I was an ex student of this school and yeah. I made alot of good friends there. Very nice school.,5,2023-12-24 21:28:42.523006,a year ago,2022-12-24 21:28:42,NA,NA,NA
41,41,ai-tong,Chloe [ -_- ],the students are very rude  worst school ever,1,2023-12-24 21:28:42.524006,a year ago,2022-12-24 21:28:42,NA,NA,NA
42,42,ai-tong,SLP SLP,Very encouraging school environment yet also focus well in moral education.👍🏻 …,5,2023-12-24 21:28:42.525006,a year ago,2022-12-24 21:28:42,NA,NA,NA
43,43,ai-tong,Joyce & Jayne,This is awesome very nice!,5,2023-12-24 21:28:42.525006,a year ago,2022-12-24 21:28:42,NA,NA,NA
44,44,ai-tong,Mark Lee,A good primary school,5,2023-12-24 21:28:42.527008,2 years ago,2021-12-24 21:28:42,NA,NA,NA
45,45,ai-tong,Happy Bellygood,"The school has safe learning environment and focus on building kid’s character by teaching them to have growth mindset. Most of the Teachers there are kind, supportive and encouraging!",5,2023-12-24 21:28:48.700518,2 years ago,2021-12-24 21:28:48,NA,NA,NA
46,46,ai-tong,KiiKii L Belle,Audrey Cheng study at Alumni Ai Tong primary school,2,2023-12-24 21:28:48.703518,3 years ago,2020-12-24 21:28:48,NA,NA,NA
47,47,ai-tong,Lian kee Goh,This is my school lol,5,2023-12-24 21:28:48.705518,3 years ago,2020-12-24 21:28:48,NA,NA,NA
48,48,ai-tong,Vijayaragavan Iyappan,Nearby School for Industrial workplaces,3,2023-12-24 21:28:54.981090,3 years ago,2020-12-24 21:28:54,NA,NA,NA
49,49,ai-tong,Christian Dick Ignacio,I just visited this place and I can say that the children here are very polite and well mannered,4,2023-12-24 21:28:54.982093,4 years ago,2019-12-25 21:28:54,NA,NA,NA
50,50,ai-tong,Hooke Wando,"Wonderful place for a child’s formative development. Strong emphasis on moral values alongside academic excellence and discipline.  This school used to be directly managed by the Hokkien Association of Singapore till sometime in 2001, with the passing of the long-time School Principal. Thereafter it become a full fledged MOE school.",5,2023-12-24 21:28:54.984093,4 years ago,2019-12-25 21:28:54,NA,NA,NA
51,51,ai-tong,Jonathan Lee,Great place for a child to study during the formative years. Strong emphasis not just on academic and physical excellence but also on values.,5,2023-12-24 21:28:54.985091,4 years ago,2019-12-25 21:28:54,NA,NA,NA
52,52,ai-tong,Jessie Soon,Very impress with this school. It teach Chinese values.,5,2023-12-24 21:29:01.264260,5 years ago,2018-12-25 21:29:01,NA,NA,NA
53,53,ai-tong,ite malay retain,Best school ever,5,2023-12-24 21:29:01.264260,5 years ago,2018-12-25 21:29:01,NA,NA,NA
54,54,ai-tong,y,I study in that school,5,2023-12-24 21:29:01.266258,5 years ago,2018-12-25 21:29:01,NA,NA,NA
55,55,ai-tong,Wayne Ngian,This is my school.I love it as I have the most caring and patient teacher to guide me along.The conducive environment facilitate a holistic development not only in academic performance but also character and leadership building.Its a great honour to be in ATS( AI TONG SCH).,5,2023-12-24 21:29:07.500055,6 years ago,2017-12-25 21:29:07,NA,NA,NA
56,56,ai-tong,Lionel Tan,Just a room for the Alumni members,4,2023-12-24 21:29:07.501056,6 years ago,2017-12-25 21:29:07,NA,NA,NA
57,57,ai-tong,Vincent Lim,Nice!!!!!😎 …,5,2023-12-24 21:29:07.502056,6 years ago,2017-12-25 21:29:07,NA,NA,NA
58,58,ai-tong,keo ying chin,It's a famous primary school,5,2023-12-24 21:29:07.502056,6 years ago,2017-12-25 21:29:07,NA,NA,NA
59,59,ai-tong,Harry Mak,ai tong is an okay school,3,2023-12-24 21:29:07.505056,7 years ago,2016-12-25 21:29:07,NA,NA,NA
60,60,ai-tong,Angela Phua,Awsome,5,2023-12-24 21:29:07.505056,8 years ago,2015-12-26 21:29:07,NA,NA,NA
61,61,alexandra,darkblazer jx,"Not bad the school field is artificial grass so all those football fans yall should go there , but the toilet bowls can be smelly and there us poop , the teachers are nice , for me i kinda dislike how bias they r sometimes and they always compare classes , BUT , the canteen food is so nice stall 3 hashbrowns with sambal is a must , having food from the school canteen is like having food from a five star restaurant , so nice i will miss this school alot",3,2023-12-24 21:29:45.301226,a month ago,2023-11-24 21:29:45,NA,NA,NA
62,62,alexandra,Skye Rules,have many good memories,4,2023-12-24 21:29:45.301226,a month ago,2023-11-24 21:29:45,NA,NA,NA
63,63,alexandra,dan,"just recently graduated from that place, most of the teachers there are nice and friendly (especially after psle) and i honestly dont like how mdm teo(principal) talks a lot everyday. but im definitely gonna miss my teachers, friends and schoolmates/classmates. this school is great and my (potential) juniors, if you are going to a primary school soon, go to this school. i assure you that this school has very less toxic people unlike the other primary schools.",4,2023-12-24 21:29:45.302224,a month ago,2023-11-24 21:29:45,NA,NA,NA
64,64,alexandra,Zoey Lee,The teachers are teaching very well they always make teaching fun and enjoyable,5,2023-12-24 21:29:45.303225,3 months ago,2023-09-25 21:29:45,NA,NA,NA
65,65,alexandra,Dex Tew,My daughter told me to give 5 starts as a P1 student in ALPS. She says there are alot of play area and good lessons and friendly teachers.,5,2023-12-24 21:29:45.303225,7 months ago,2023-05-28 21:29:45,NA,NA,NA
66,66,alexandra,SilverwindStrikes,"Am Jonathan’s classmate, got a lotta good memories here!",5,2023-12-24 21:29:45.304224,10 months ago,2023-02-27 21:29:45,NA,NA,NA
67,67,alexandra,thelevitator,Best School in Bukit Merah - Lower Delta Area  Had a lot of memories there as an Alexandrian and also an alumni.,5,2023-12-24 21:29:45.305224,a year ago,2022-12-24 21:29:45,NA,NA,NA
68,68,alexandra,Jayden Ong,Schooled there for 6 years lots of memories love the teachers especially ms Kua she has helped me with my math and I proved from my premlim exam love you guys ❤️,5,2023-12-24 21:29:45.306224,a year ago,2022-12-24 21:29:45,NA,NA,NA
69,69,alexandra,Sweta Das,Very good,5,2023-12-24 21:29:45.307227,a year ago,2022-12-24 21:29:45,NA,NA,NA
70,70,alexandra,Pyia Phyo,I leart over here in 2021-2022 and i learn the 8vales,5,2023-12-24 21:29:45.308227,a year ago,2022-12-24 21:29:45,NA,NA,NA
71,71,alexandra,RiZWANA,I am Rizwana from 2 Harmony and l like this school❤💛💙🤍 …,5,2023-12-24 21:29:45.309226,a year ago,2022-12-24 21:29:45,NA,NA,NA
72,72,alexandra,YeeT Flash,is not bad good neighbour hood school,1,2023-12-24 21:29:45.310225,a year ago,2022-12-24 21:29:45,NA,NA,NA
73,73,alexandra,G r a s s,"Its really amazing, the teachers might scold you but its because they want you to do well, the best few years of my life were spent there",5,2023-12-24 21:29:45.311226,a year ago,2022-12-24 21:29:45,NA,NA,NA
74,74,alexandra,Jonathan,"very good school, i made many good friends and the teachers are very nice and caring. the school environment is also very suitable for learning!",5,2023-12-24 21:29:45.311226,a year ago,2022-12-24 21:29:45,NA,NA,NA
75,75,alexandra,Lucas Ng,"Best school ever! Great and caring Teachers, and a fun environment to grow up too!",5,2023-12-24 21:29:51.503633,2 years ago,2021-12-24 21:29:51,NA,NA,NA
76,76,alexandra,sandice Tan,Best school ever. Teachers teach students to be kind and have good character values. Join this primary school!,5,2023-12-24 21:29:51.505635,3 years ago,2020-12-24 21:29:51,NA,NA,NA
77,77,alexandra,Esther Y,"Cosy school, holistic education and genuinely caring teachers. Highly recommended!",5,2023-12-24 21:29:51.506634,3 years ago,2020-12-24 21:29:51,NA,NA,NA
78,78,alexandra,jov4n t,I love this place! The school is excellent!👍 …,5,2023-12-24 21:29:51.508636,4 years ago,2019-12-25 21:29:51,NA,NA,NA
79,79,alexandra,Alex Wong,"The only army camp in the vicinity. High expectations of parents. Parents having separate Whatsapp groups just to complain and whine about teachers. Lack of respect for teachers. Lack of welfare from SLs. Explains the high turnover rate. As a parent, I just hope other parents can learn to appreciate the hard work put in by teachers for our kids.",2,2023-12-24 21:29:57.781873,4 years ago,2019-12-25 21:29:57,NA,NA,NA
80,80,alexandra,Hashim Javed,Best Primary School of Singapore City,5,2023-12-24 21:29:57.785873,5 years ago,2018-12-25 21:29:57,NA,NA,NA
81,81,alexandra,Philip Wong,I'm happy with the school. My granddaughter is in p1 this year. Wonder if the school allow student to put on earrings? I saw one at bus stop along Alexander road.. name Choker Ju... (I cann't get the whole name),5,2023-12-24 21:30:04.013387,5 years ago,2018-12-25 21:30:04,NA,NA,NA
82,82,alexandra,Mae Hu,I like Alexandra Primary School as the teacher Form and co-form teacher as they were kine to,5,2023-12-24 21:30:04.015388,6 years ago,2017-12-25 21:30:04,NA,NA,NA
83,83,alexandra,JG Y,Amazing,5,2023-12-24 21:30:04.016387,6 years ago,2017-12-25 21:30:04,NA,NA,NA
84,84,anchor-green,BlankMind,"I've graduated from this sch and the teachers are quite friendly if you aren't mischievious.Though they may be sometimes strict,they genuinely want the best.Like Mrs Vara,shes a good teacher.For those who are looking for a school,you should go here",5,2023-12-24 21:30:42.121867,4 days ago,2023-12-20 21:30:42,NA,NA,NA
85,85,anchor-green,Ellyana Kumala,"My daughter just graduated from this school several days ago, and she says that one thing that sets this apart is the really good food, plus the very convenient bookshop in the school. Furthermore, she says that her teachers, Mdm Wani, Mdm Canny Wong, Mrs Thiro, Mdm Siti, Miss Yeow, and her Chinese teacher Mrs Chua (6.3) were all so nice and great teachers. If you want a good school, come here, its pretty good and there are a lot of learning journeys (PS : She would like to say thank you to Wu Laoshi from 1I)",5,2023-12-24 21:30:42.122868,4 weeks ago,2023-11-26 21:30:42,NA,NA,NA
86,86,anchor-green,Ramanlal Patel,It's enormous,2,2023-12-24 21:30:42.123867,2 months ago,2023-10-25 21:30:42,NA,NA,NA
87,87,anchor-green,William Procházková Smírnová (William Farquhar),"This school might be the best in Sengkang. The teachers were fun and engaging, and as class of 2021, I was so sad to leave the school. The food was good, especially the western stall, which has long queues every single day. The bookshop auntie was so cute and nice and I felt bad for her having to deal with our nonsense of not lining up 😓😓. I’ve had great teachers like Ms Ng, Mrs Vara, Ms Theresa Ng and Mdm Syakila. I’ve also had great friends, whom I still keep in touch with, and some even in the same class as me. AGPS is so fun and exciting!",5,2023-12-24 21:30:42.123867,3 months ago,2023-09-25 21:30:42,NA,NA,NA
88,88,anchor-green,Pooh TheBear,Decent.,2,2023-12-24 21:30:42.124866,4 months ago,2023-08-26 21:30:42,NA,NA,NA
89,89,anchor-green,Foo Ning En (Scgss),"I love this school so so much, the teachers are very great and love the school’s atmosphere 💗💗 people from this primary school have went to top elite schools in secondary 🙌 #ag15 this school very very nice all those ppl who put one star are just jealous 😭💗 …",5,2023-12-24 21:30:42.125867,5 months ago,2023-07-27 21:30:42,NA,NA,NA
90,90,anchor-green,Ben wan,"This school is great! The food is delicious, the teachers are great, and they host alot of activities! Definitely recommend this school.",5,2023-12-24 21:30:42.126867,5 months ago,2023-07-27 21:30:42,NA,NA,NA
91,91,anchor-green,Leong Lok Shuen (Anchorgreenps),"I wont rate this school the best but it is pretty great and the teachers were really kind to me.The canteen food are really delicous!!!I would recomment the mac and cheese,the my favourate food out of all the food canteen.For my CCA Guzheng,I used to be so in loved with it as last year(2022)use to have snack break which is apropximately 10 mins.But now,has no snack break,only drinking water and/or going to toilet for 5 mins(max).But on the bright side,this school have lot of friends to make and we all are very and and helpful. Hope this info help!(●'◡'●)",4,2023-12-24 21:30:42.126867,7 months ago,2023-05-28 21:30:42,NA,NA,NA
92,92,anchor-green,Kaede Chua,"I studied here for 6 years and the food is delicious 😋 teachers are all very fair and kind, the way they teach is great and fun :) the cca are very fun , I recommend modern dance. You can meet many great people! I am proud to be a ex-student at anchor green primary school. 😁 …",5,2023-12-24 21:30:42.127867,9 months ago,2023-03-29 21:30:42,NA,NA,NA
93,93,anchor-green,Vivarazzy Elisyam M A,It has the best teacher and experience but... your class maybe noisy when you join,5,2023-12-24 21:30:42.128869,10 months ago,2023-02-27 21:30:42,NA,NA,NA
94,94,anchor-green,Lau Shao Kang (Anchorgreenps),"Before next year in PSLE (I’m in 2023) I have to rate this, So people sometimes are really sus they always say cringe stuff. But on the bright side the strict teachers are teaching me well and recess is a little chaotic but nice food, I like the P1 Buddy program but my buddy keep running around.I also like ICT lessons I wish I can have more. And finally my grades are in a Ok status",5,2023-12-24 21:30:42.129870,11 months ago,2023-01-28 21:30:42,NA,NA,NA
95,95,anchor-green,Angel Lim,Good school and the food is 👍🏼.  Best recommendation! …,5,2023-12-24 21:30:42.131869,a year ago,2022-12-24 21:30:42,NA,NA,NA
