index,school_id,n_review_user,id_review,rating,retrieval_date,url_user,caption,relative_date,timestamp,username
0,admiralty,0,ChZDSUhNMG9nS0VJQ0FnSUNsNDZ5YVdREAE,5,2023-12-31 09:29:28.15283+00,https://www.google.com/maps/contrib/110911098274700345666/reviews?hl=en,good school,a month ago,2023-12-01 09:29:28.636354+00,Jav
5,admiralty,0,ChdDSUhNMG9nS0VJQ0FnSUNKd2VIUHhnRRAB,5,2023-12-31 09:29:28.15583+00,https://www.google.com/maps/contrib/112695849199536858031/reviews?hl=en,Live laugh love Admiralty Primary💋 …,6 months ago,2023-07-04 09:29:28.930346+00,Isya
7,admiralty,0,ChdDSUhNMG9nS0VJQ0FnSURSeHQ3cjZRRRAB,5,2023-12-31 09:29:28.15683+00,https://www.google.com/maps/contrib/112568184135688234943/reviews?hl=en,excellent school where students learn how to persevere and upgrade their skills to a whole new level. Many kind and caring teachers and it is a place where you will make lots of friends. I know all these because i graduated from that school myself.,8 months ago,2023-05-05 09:29:29.019342+00,Vyden Wang Jiawen (Cchms)
8,admiralty,0,ChZDSUhNMG9nS0VJQ0FnSURoaTVQRkRBEAE,1,2023-12-31 09:29:28.15783+00,https://www.google.com/maps/contrib/112508921023180340656/reviews?hl=en,Very nice,9 months ago,2023-04-05 09:29:29.146749+00,zel
17,ai-tong,4,ChdDSUhNMG9nS0VJQ0FnSUNsc2N1bl9BRRAB,4,2023-12-31 09:34:42.419577+00,https://www.google.com/maps/contrib/117466204414430572855/reviews?hl=en,It is a nice place to be in,a month ago,2023-12-01 09:34:42.689585+00,Lucas Yeo
18,ai-tong,0,ChdDSUhNMG9nS0VJQ0FnSUNsdHJTTndRRRAB,5,2023-12-31 09:34:42.419577+00,https://www.google.com/maps/contrib/101752369651327945671/reviews?hl=en,"Don't take ats for granted, is the best",a month ago,2023-12-01 09:34:42.740576+00,Joelle
19,ai-tong,0,ChdDSUhNMG9nS0VJQ0FnSUNseHYyN2xRRRAB,5,2023-12-31 09:34:42.420576+00,https://www.google.com/maps/contrib/100509334756406712220/reviews?hl=en,"i’m from this school and it’s good. people there are cool and ai tong wins competitions a lot. good facilities too and while i can’t say the teachers there are all good, i can say that most are",a month ago,2023-12-01 09:34:42.784581+00,Ethan Chew
20,ai-tong,0,ChZDSUhNMG9nS0VJQ0FnSURaN3Ffa2VnEAE,5,2023-12-31 09:34:42.421576+00,https://www.google.com/maps/contrib/111383551435949464599/reviews?hl=en,OMG,2 months ago,2023-11-01 09:34:42.841302+00,Lee Ensheng
21,ai-tong,0,ChZDSUhNMG9nS0VJQ0FnSURwci1tMGRREAE,5,2023-12-31 09:34:42.421576+00,https://www.google.com/maps/contrib/105908982553664081520/reviews?hl=en,"school of rich heritage, and well maintained facilities",3 months ago,2023-10-02 09:34:42.885302+00,ovori
22,ai-tong,0,ChdDSUhNMG9nS0VJQ0FnSUNwc0w3UDVBRRAB,5,2023-12-31 09:34:42.422577+00,https://www.google.com/maps/contrib/113579896503055671861/reviews?hl=en,it is a school with very rich history and the kids in that school are very polite. their grades are also very good. 5 stars!,5 months ago,2023-08-03 09:34:42.927297+00,Jade Ng Gek Choo
25,ai-tong,27,ChZDSUhNMG9nS0VJQ0FnSUN4bGVITENREAE,4,2023-12-31 09:34:42.424577+00,https://www.google.com/maps/contrib/107771912072372927461/reviews?hl=en,Great school!,7 months ago,2023-06-04 09:34:43.106292+00,Xu Mingjie (Bsss)
26,ai-tong,0,ChdDSUhNMG9nS0VJQ0FnSUNKenRmel9RRRAB,5,2023-12-31 09:34:42.424577+00,https://www.google.com/maps/contrib/103216344454789434555/reviews?hl=en,Very nice school,6 months ago,2023-07-04 09:34:43.055292+00,Mai Thi Muon
27,ai-tong,1,ChdDSUhNMG9nS0VJQ0FnSUR1aEwzUGxRRRAB,5,2023-12-31 09:34:42.42558+00,https://www.google.com/maps/contrib/103469770283298516099/reviews?hl=en,"I was a student in that school last year but now I have graduated and went into a secondary school nearby which is called peirce secondary, I chose that school cause is convenient to came back to Ai Tong",8 months ago,2023-05-05 09:34:43.145292+00,Chong Yu Qi (Peircess)
28,ai-tong,370,ChdDSUhNMG9nS0VJQ0FnSURobnVMQy13RRAB,5,2023-12-31 09:34:42.426581+00,https://www.google.com/maps/contrib/115313509232072224675/reviews?hl=en,School with old tradition and good values,9 months ago,2023-04-05 09:34:43.183292+00,Yuanjing Li
